Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,15.873571,16.633928,14.960714,16.061787,13.853102,9447530400
2013-06-01,16.097500,16.229643,13.888214,14.161786,12.295221,7018536000
2013-07-01,14.381786,16.333570,14.329286,16.161785,14.031615,6538114800
2013-08-01,16.276787,18.347857,16.187857,17.400715,15.107249,8058338400
2013-09-01,17.610714,18.139999,15.972143,17.026787,14.880213,8630941200
2013-10-01,17.087500,19.258928,17.081429,18.667856,16.314394,7837732000
2013-11-01,18.715000,19.940357,18.299286,19.859644,17.355925,5225155600
2013-12-01,19.928572,20.540714,19.242857,20.036428,17.612659,7057397200
2014-01-01,19.845715,20.007143,17.626785,17.878571,15.715838,8765954400
2014-02-01,17.950357,19.685356,17.832144,18.794287,16.520781,5880366800
2014-03-01,18.693571,19.607143,18.671785,19.169287,16.951279,5001698800
2014-04-01,19.205713,21.408215,18.261786,21.074642,18.636175,6435060800
2014-05-01,21.142857,23.006071,20.726070,22.607143,19.991356,5735668400
2014-06-01,22.641430,23.762501,22.232143,23.232500,20.659098,4827739200
2014-07-01,23.379999,24.860001,23.142500,23.900000,21.252657,4140344000
2014-08-01,23.725000,25.725000,23.320000,25.625000,22.786594,3748308000
2014-09-01,25.764999,25.934999,24.035000,25.187500,22.508963,6105680000
2014-10-01,25.147499,27.010000,23.795000,27.000000,24.128708,5441120800
2014-11-01,27.055000,29.937500,26.930000,29.732500,26.570621,3281632800
2014-12-01,29.702499,29.812500,26.565001,27.594999,24.767363,4294378400
2015-01-01,27.847500,30.000000,26.157499,29.290001,26.288687,5221053600
2015-02-01,29.512501,33.400002,29.020000,32.115002,28.824209,4546140800
2015-03-01,32.312500,32.570000,30.407499,31.107500,28.030138,4554568400
2015-04-01,31.205000,33.634998,30.775000,31.287500,28.192326,3984542000
2015-05-01,31.525000,33.242500,30.840000,32.570000,29.347956,3816608400
2015-06-01,32.570000,32.847500,31.120001,31.357500,28.373426,3514426800
2015-07-01,31.725000,33.242500,29.805000,30.325001,27.439180,4233122400
2015-08-01,30.375000,30.642500,23.000000,28.190001,25.507351,6427276400
2015-09-01,27.537500,29.222500,26.840000,27.575001,25.063822,4826189200
2015-10-01,27.267500,30.305000,26.827499,29.875000,27.154364,4450048400
2015-11-01,30.200001,30.955000,27.750000,29.575001,26.881687,3002562400
2015-12-01,29.687500,29.965000,26.205000,26.315001,24.020947,3687660800
2016-01-01,25.652500,26.462500,23.097500,24.334999,22.213562,5087392000
2016-02-01,24.117500,24.722500,23.147499,24.172501,22.065228,3243450400
